ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779575692,1735,270,580,20033237,438.15
1779575697,1740,270,580,20035196,401.69
1779575702,1745,270,580,20037364,464.86
1779575707,1750,270,580,20039604,424.30
1779575712,1755,270,580,20041442,333.32
1779575718,1761,270,580,20043163,331.38
1779575723,1766,270,580,20045467,415.34
1779575728,1771,270,580,20047699,450.05
1779575733,1776,270,580,20050028,456.58
1779575738,1781,270,580,20052560,501.10
1779575743,1786,270,580,20055178,520.78
1779575748,1791,270,580,20057798,516.75
1779575753,1796,270,580,20060867,595.35
1779575758,1801,270,580,20064199,662.89
1779575763,1806,270,580,20102722,9732.83
1779575768,1811,270,580,20133439,1519.83
1779575773,1816,270,580,20139006,1173.55
1779575778,1821,270,580,20168279,11754.22
1779575784,1827,270,580,20223706,11331.40
1779575789,1832,270,580,20279790,11051.03
1779575794,1837,270,580,20336745,11344.59
1779575799,1842,270,580,20396077,11364.85
1779575804,1847,270,580,20458322,12097.83
1779575809,1852,270,582,20517684,11755.77
1779575814,1857,270,583,20574916,11020.52
1779575819,1862,270,583,20629914,10854.62
1779575825,1868,270,583,20686812,11695.98
1779575830,1873,270,583,20741231,10800.11
1779575835,1878,270,584,20800024,11786.64
1779575840,1883,270,585,20859648,11729.99
1779575845,1888,270,585,20918664,11685.03
1779575850,1893,270,585,20982022,12162.72
1779575855,1898,270,585,21046231,12440.98
1779575860,1903,270,585,21110398,12397.12
1779575865,1908,270,585,21177175,12964.05
1779575870,1913,270,585,21241988,12837.35
1779575875,1918,270,585,21305951,12736.75
1779575880,1923,270,585,21367135,360.00
1779575885,1928,270,585,21431595,13084.16
1779575890,1933,270,585,21487831,11664.32
1779575895,1938,270,585,21520882,6525.48
1779575900,1943,270,585,21581190,10998.48
1779575906,1949,270,585,21643715,12408.02
1779575911,1954,270,585,21700606,11430.94
1779575916,1959,270,585,21760133,11523.40
1779575921,1964,270,585,21822722,12095.78
1779575926,1969,270,585,21884758,12086.30
1779575931,1974,270,585,21950875,13211.05
1779575936,1979,270,588,22020885,13401.10
1779575941,1984,270,588,22081806,13389.20
1779575946,1989,270,588,22142504,12209.05
1779575951,1994,270,589,22203947,12003.68
1779575956,1999,270,589,22271939,12996.15
1779575961,2004,270,589,22333896,12365.81
1779575967,2010,270,589,22396329,12414.43
1779575972,2015,270,589,22462452,13045.66
1779575977,2020,270,589,22529559,12874.44
1779575982,2025,270,589,22598288,13263.50
1779575987,2030,270,589,22657013,12249.74
1779575992,2035,270,589,22723214,12696.05
1779575997,2040,270,589,22783398,11986.13
1779576002,2045,270,589,22833966,9398.27
1779576007,2050,270,590,22892418,11395.22
1779576012,2055,270,590,22954254,11997.93
