# time_s n median_edges min_edges max_edges median_bcov min_bcov max_bcov median_paths min_paths max_paths
13620 4 269 269 269 23.210 23.210 23.210 0 0 0
13680 4 269 269 269 23.210 23.210 23.210 0 0 0
13740 4 269 269 269 23.210 23.210 23.210 0 0 0
13800 4 269 269 269 23.210 23.210 23.210 0 0 0
13860 4 269 269 269 23.210 23.210 23.210 0 0 0
13920 4 269 269 269 23.210 23.210 23.210 0 0 0
13980 4 269 269 269 23.210 23.210 23.210 0 0 0
14040 4 269 269 269 23.210 23.210 23.210 0 0 0
14100 4 269 269 269 23.210 23.210 23.210 0 0 0
14160 4 269 269 269 23.210 23.210 23.210 0 0 0
14220 4 269 269 269 23.210 23.210 23.210 0 0 0
14280 4 269 269 269 23.210 23.210 23.210 0 0 0
14340 4 269 269 269 23.210 23.210 23.210 0 0 0
