ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779565128,5571,269,617,61351326,11641.34
1779565133,5576,269,617,61411416,11738.18
1779565138,5581,269,617,61475710,12428.87
1779565143,5586,269,617,61533714,11669.41
1779565148,5591,269,617,61591946,11353.94
1779565153,5596,269,617,61646004,10733.22
1779565158,5601,269,617,61710427,11882.07
1779565163,5606,269,617,61773515,12058.26
1779565168,5611,269,617,61841067,13322.08
1779565173,5616,269,617,61920341,15120.60
1779565179,5622,269,617,62000182,15601.45
1779565184,5627,269,617,62071408,13919.96
1779565189,5632,269,617,62127399,11395.40
1779565194,5637,269,617,62186655,11648.89
1779565199,5642,269,617,62243710,11516.08
1779565204,5647,269,617,62301676,11587.96
1779565209,5652,269,617,62360468,11677.28
1779565214,5657,269,617,62419048,11406.48
1779565219,5662,269,617,62479254,11812.82
1779565224,5667,269,617,62539048,11802.08
1779565230,5673,269,617,62597908,10915.22
1779565235,5678,269,617,62663507,12403.81
1779565240,5683,269,617,62724091,11954.53
1779565245,5688,269,617,62787381,12362.40
1779565250,5693,269,617,62850342,12001.56
1779565255,5698,269,617,62909369,11390.26
1779565260,5703,269,617,62968034,11126.73
1779565265,5708,269,617,63028711,11607.71
1779565270,5713,269,617,63083706,10735.36
1779565276,5719,269,617,63144868,11781.54
1779565281,5724,269,617,63205440,11619.74
1779565286,5729,269,617,63268104,12495.01
1779565291,5734,269,617,63322219,10558.45
1779565296,5739,269,617,63385229,11998.07
1779565301,5744,269,617,63452484,12920.99
1779565306,5749,269,617,63515953,12400.22
1779565311,5754,269,617,63577832,12213.76
1779565316,5759,269,617,63642615,12439.75
1779565321,5764,269,617,63705135,12500.29
1779565327,5770,269,617,63764749,11665.90
1779565332,5775,269,617,63830693,12874.44
1779565337,5780,269,617,63897164,13160.30
1779565342,5785,269,617,63962086,12845.24
1779565347,5790,269,617,64030297,13426.83
1779565352,5795,269,617,64092566,12616.06
1779565357,5800,269,617,64155549,12360.63
1779565362,5805,269,617,64213440,11460.05
